Latitude	Longitude	stopID	stopName
43.5112	-80.2243	0718	Kortright Rd. W. opposite Hanlon Creek Park
43.5143	-80.2199	0719	Kortright Rd. W. at Edinburgh Rd. S.
43.5165	-80.2169	0720	Kortright Rd. W. at Rickson Ave.
43.5198	-80.2148	0721	Kortright Rd. W. opposite Yewholme Dr.
43.5227	-80.2137	0722	Gordon St. at Kortright Rd. W.
43.5243	-80.2169	0723	Gordon St. at Hands Dr.
43.5258	-80.2218	0724	Gordon St. at Monticello Cres.
43.5291	-80.2238	0725	University Centre
43.5458	-80.2455	0800	Guelph Central Station
43.5436	-80.2465	0801	Wyndham St. S. at Farquhar St.
43.5423	-80.244	0802	Wellington St. E. at KFC
43.5383	-80.2413	0803	Gordon St. at Water St.
43.5351	-80.2432	0804	Water St. at McCrae Blvd.
43.5351	-80.2465	0805	Water St. at Maple St.
43.5319	-80.2436	0806	Maple St. at Forest St.
43.53	-80.2461	0807	Forest St. at Park
43.5274	-80.2445	0808	Edinburgh Rd. S. at Maplewood Dr.
43.5252	-80.2422	0809	College Ave. W. at Edinburgh Rd. S.
43.5216	-80.2471	0810	College Ave. W. at Centennial 
43.518	-80.2457	0811	129 Janefield Ave.  
43.5168	-80.2409	0812	Janefield Ave. at Scottsdale Dr.
43.5188	-80.2392	0813	Stone Road Mall
43.521	-80.24	0814	Scottsdale Dr. at Wilsonview Ave. 
43.5218	-80.242	0815	220 Scottsdale Dr.
43.5233	-80.2436	0816	Scottsdale Dr. at College Ave. W.
43.5243	-80.243	0817	College Ave. W. at Meadowcroft
43.5268	-80.2434	0818	Edinburgh Rd. S. at Floral Dr.
43.5285	-80.2457	0819	Edinburgh Rd. S. at Lockyer Rd.
43.53	-80.2478	0820	Edinburgh Rd. S. at Municipal St. 
43.5324	-80.2511	0821	Edinburgh Rd. S. at Honey Cres.
43.5358	-80.2535	0822	Bristol St. at McGee St. 
43.538	-80.253	0823	Yorkshire St. S. at Waterloo Ave.
43.5389	-80.2525	0824	Waterloo Ave. at Glasgow St. 
43.5412	-80.2498	0825	Waterloo Ave. at Norfolk St.
43.5433	-80.2491	0826	Guelph City Hall
43.5458	-80.2455	0827	Guelph Central Station
43.5458	-80.2455	0900	Guelph Central Station
43.5415	-80.2498	0901	3 Waterloo Ave. 
43.5389	-80.2525	0902	Waterloo Ave. at Glasgow St. 
43.5375	-80.2541	0903	Waterloo Ave. at Yorkshire St. S. 
43.5352	-80.2565	0904	225 Waterloo Ave. 
43.5327	-80.2591	0905	Waterloo Ave. at Beachwood Ave. 
43.531	-80.2609	0906	387 Waterloo Ave.
43.5228	-80.2677	0907	659 Wellington St. N. 
43.5209	-80.2693	0908	Imperial Rd. S. at Wellington St. N.
